page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
21009880	189472	27142	270	16983	177
574326	15974	1787	21	1426	11
18821046	123529	6744	86	5836	62
874247	11067	2114	44	699	23
2619505	3127	427	6	97	3
2750627	4178	733	17	331	9
2750691	3819	764	15	447	10
1172166	5312	905	16	550	11
1180149	6451	1278	26	467	6
14252668	737	22	1	22	1
1392630	11628	1867	38	659	14
34049	62128	4818	64	3806	38
1213345	19019	2617	22	2530	20
1300874	20528	2628	26	2068	18
934744	19764	4955	35	2103	27
19383782	40263	7258	76	3093	38
692633	21899	3649	82	2492	41
2225073	34341	5777	75	4810	50
101965	173437	13448	189	6674	90
15279478	2416	33	2	0	0
13861615	816	21	1	21	1
19851539	2217	293	5	13	1
464073	25290	5131	67	2386	31
11683572	35455	6747	64	5024	40
594086	27665	2787	39	1526	23
157529	48826	9316	123	5310	74
19961573	198	11	1	11	1
4041101	12138	2203	21	1997	14
144147	52614	8411	154	3782	51
146865	14811	1659	25	428	5
714452	49774	7900	107	5243	85
875883	22199	3158	55	1594	32
5069735	0	0	0	0	0
66981	22922	3138	60	2040	27
24595	4905	636	10	557	7
53335	107543	19432	107	3831	57
105807	126698	13677	121	4218	52
30861480	23459	7334	51	4822	36
27077232	0	0	0	0	0
8305	131776	27204	219	2224	25
429542	41200	7698	102	2932	68
11249433	30577	2236	34	1600	23
20767273	5072	1224	24	1063	19
178197	46305	4511	85	3309	52
634622	62164	1787	30	1058	9
83537	141012	21037	264	11029	195
876	24895	1898	29	1636	21
1584036	16221	1044	35	689	20
277102	13317	1527	44	1423	39
21071926	7038	1659	33	852	15
74553	27893	2156	86	1609	64
63526	156020	35189	234	12752	149
1593643	34174	3117	55	2586	44
1776	74398	4711	112	2775	56
243539	63940	18747	140	2466	34
21091725	16138	1768	17	333	8
363559	94073	25592	232	2477	53
88003	137711	8890	121	4029	55
382082	1326	47	2	0	0
560154	24360	3509	39	2672	32
21280496	24675	10493	104	1616	30
57713	128051	12931	223	7002	113
7172	58598	8356	245	6044	154
454231	21356	5148	65	3044	42
21010263	103086	9804	140	5903	84
25	174492	14547	211	7798	86
21438807	38105	5001	105	2762	70
13629466	120446	5378	94	2342	34
21481546	12236	1029	26	175	4
227167	145707	61106	59	2437	27
396054	16108	2747	70	1240	25
267488	12638	1271	33	557	9
322197	19097	2314	25	2119	20
21594254	1557	310	9	254	8
910147	41542	6399	108	3665	42
35319154	39291	2586	74	574	15
50973	22679	541	15	383	13
46177	7234	1503	24	610	9
684786	36883	4565	55	3363	36
160581	71166	14836	203	9896	141
242284	54517	3080	50	2739	41
32834	44518	2161	49	1199	29
414179	9598	1621	37	655	15
235195	21780	4908	94	1655	23
7646602	552	59	3	59	3
188288	29576	9113	56	1907	12
1601399	61658	5111	46	3494	25
76988	112070	8061	155	6365	127
5558520	5714	786	16	532	8
299014	10473	2623	67	1770	49
505536	27567	1010	26	643	16
69893	39196	3661	91	3225	77
141029	32990	10741	71	3941	33
731387	1611	440	5	16	1
3277960	1356	105	2	105	2
1895094	11547	2687	49	1896	27
2417757	11117	647	17	264	6
2190913	24066	3520	63	1311	31
73298	23574	5582	106	3310	51
21402632	69141	10066	152	3200	78
1611653	5575	681	15	589	10
3388376	18299	526	10	427	7
187698	24794	1732	37	1459	27
2332327	4024	433	10	394	8
28445	111394	16053	114	7749	75
538058	65531	1297	25	1021	18
6773	129530	2366	56	1819	36
25275	44393	6008	95	4308	52
19980133	12665	1919	29	1820	24
2888063	8974	2426	19	1976	10
47878	131164	13340	147	4936	67
1328966	26514	673	16	482	10
23740	15648	2643	73	1716	43
13965911	0	0	0	0	0
531611	43835	4524	95	2204	38
61787	617	62	2	62	2
61796	834	108	4	108	4
4781	154349	30577	291	15171	146
20321147	98463	26088	145	8873	33
237419	32922	2899	54	2039	36
1053949	21698	2351	49	1545	34
2842910	3239	284	7	185	5
239890	51285	7858	117	2076	52
11287720	23530	7463	60	3537	41
17527247	27686	10737	277	9875	267
23371046	2738	113	2	100	1
55309	163529	4160	60	1310	28
23640750	3207	712	6	653	5
266226	34354	6044	83	3000	25
16829895	149393	16159	266	7943	73
613640	35206	1950	34	1378	27
11768316	1162	12	1	0	0
6447865	14858	2869	37	1530	21
1274833	12661	1540	42	922	27
575810	20638	4819	83	3476	58
8412074	12227	1699	30	848	15
865271	17301	3523	62	2592	42
2388	54890	9586	162	5749	93
575347	4793	975	19	623	7
282037	1516	167	2	167	2
22140663	2942	683	10	665	9
168536	64100	15920	147	3428	45
267922	16358	1835	24	611	13
24723	42000	7137	86	5298	66
2977662	13867	441	7	226	5
17681122	12579	1281	14	846	11
258952	4831	215	10	120	6
427922	9986	1990	51	141	6
23667138	586	216	7	147	4
188518	130082	16241	133	13083	91
6811	39206	6652	176	2852	90
23153682	5014	129	2	129	2
311410	29138	942	11	800	9
21226	51589	4713	150	3658	108
146393	4736	1034	14	698	7
56558	90099	5763	135	3813	82
2525843	36181	2319	37	1073	23
22623	36367	5543	90	4006	46
24354	30095	3567	103	1869	43
3211372	9740	915	28	718	25
12805637	0	0	0	0	0
183048	51077	9265	140	6826	94
674	60838	8599	171	2137	33
747279	31012	2517	28	2257	21
2648478	1451	470	3	470	3
2607078	2608	1020	6	899	5
24905777	1232	267	8	103	2
199665	87873	6893	98	4822	59
334955	19179	2637	48	472	19
331155	17866	5265	51	2102	17
19119935	824	166	7	110	5
868953	26772	5811	78	2252	52
3997	76290	5460	146	2778	76
93827	14674	1227	10	953	6
1057414	27202	5312	113	3443	77
8695082	8977	778	25	519	18
85385	94821	29258	203	8809	120
25431188	412	47	1	47	1
217947	46665	2424	29	1849	15
63531	78972	12607	149	6294	89
11077785	2365	746	14	299	6
25489768	910	127	6	127	6
21464996	34712	2163	59	853	19
3120122	6698	1051	26	945	23
56462	89056	5157	72	3062	42
18539	122419	15382	291	5126	99
697208	11959	2346	42	2081	31
26092640	0	0	0	0	0
359238	23542	5880	167	3302	91
1019238	18584	2461	51	1434	27
19167679	115496	12977	254	5699	100
19329865	6655	1433	15	590	6
1002770	14136	1634	24	976	19
4432524	34623	1038	31	384	10
771986	61448	27117	296	20363	240
3331179	9008	144	7	144	7
26293276	3566	368	8	339	7
4831143	7570	797	17	374	12
2812725	69759	17143	122	6053	49
4572582	9474	764	18	526	6
16959634	3399	902	23	550	16
22314651	1655	485	18	414	14
404646	27442	4339	41	3043	26
23251	51895	8357	60	2799	31
172305	11401	561	9	502	6
12266	59499	7437	170	2159	66
28852	168120	34283	336	14110	146
352960	39611	7010	107	3635	55
210596	108846	13951	134	9252	82
102961	0	0	0	0	0
4581	30594	4568	61	3705	39
15648231	8697	740	8	0	0
26534334	87270	15468	190	5245	76
253720	116746	5062	66	3241	33
