page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
27301	1260	554	3	533	2
27311	1447	320	4	296	3
65643	24683	3146	23	2468	8
32353778	3406	843	8	628	7
27424	4579	675	8	497	2
27454	839	276	2	276	2
30121	3957	690	3	671	2
5481	1020	411	3	411	3
6002	699	350	2	350	2
8024	3171	752	6	738	5
69673	5187	1440	5	1413	3
25497	725	354	3	354	3
30141	816	329	3	329	3
50815	4391	1226	19	897	7
56923	2755	716	6	690	5
33223	1309	526	8	474	6
34431	1352	285	3	285	3
34402	3419	703	4	664	3
474016	463	61	2	48	1
1995443	449	223	1	223	1
5451377	1093	96	2	96	2
2707964	184	48	2	19	1
3805731	218	85	1	85	1
673520	218	46	3	32	2
4917069	152	48	3	48	3
689888	279	77	4	77	4
2892000	303	62	3	47	2
673508	334	113	3	80	1
28307217	308	42	3	12	1
1727810	570	131	7	62	3
1138209	1490	203	4	180	2
3855227	447	58	3	26	1
28095839	350	98	5	63	3
768938	12223	3584	35	2174	22
31865254	74	0	0	0	0
1966242	804	298	4	142	1
476881	3747	1532	14	995	6
14176457	472	225	3	225	3
449419	1008	176	5	129	3
3253628	209	47	1	47	1
16847257	2655	840	34	221	7
1224156	6721	162	7	21	1
47063538	684	246	7	178	4
2347378	0	0	0	0	0
449578	543	132	5	105	3
4103156	711	63	3	63	3
690121	1009	105	2	105	2
2706638	698	111	3	87	2
2960015	95	0	0	0	0
3782125	633	173	5	115	2
1297784	776	69	2	41	1
4917758	307	42	1	42	1
3897945	1897	172	3	104	2
28467757	571	227	5	214	4
4917924	953	361	6	307	4
4568114	123	12	1	12	1
4568049	1662	266	8	209	4
10606227	1635	167	2	132	1
732131	2880	697	14	487	8
8339283	1248	141	4	32	1
430062	4859	1224	33	391	10
17207794	81665	16946	257	8240	76
8048	2195	954	16	568	6
920729	11313	4120	38	3223	19
8420	106680	9880	70	1866	7
253749	17310	5452	39	3921	17
301390	14757	2977	38	78	3
144726	7886	1477	48	270	8
392284	17133	6982	43	5214	22
19997263	9894	2611	33	1753	13
744723	2203	707	7	535	4
313650	37883	7694	158	2547	20
1397081	279	14	1	0	0
1649	14813	6368	101	2555	34
356454	3967	2145	24	1775	11
1107043	10299	6319	60	4090	19
9329459	601	231	5	231	5
9955515	1380	215	4	215	4
413445	1321	373	3	373	3
260987	29289	5777	98	3688	44
1968029	5910	2412	41	1759	19
1243041	17125	4616	64	3482	34
3673412	447	35	2	35	2
12497843	10083	1333	10	802	5
2019833	18062	4803	66	1247	28
1988523	2608	1087	17	719	9
2811426	757	338	6	273	5
1666218	898	493	15	291	7
40817590	71230	5583	106	1047	15
774692	1112	437	6	103	4
36848	86667	13176	95	11205	61
13895166	592	153	3	101	1
1055517	12674	1702	32	1279	25
18949128	4303	576	9	475	3
706	3951	641	9	564	4
3565	1678	193	7	109	2
3616	4206	460	9	352	3
3680	1777	215	7	131	2
3698	1382	191	6	107	1
5452	2212	324	8	229	2
18932669	1490	180	8	95	3
5333	1861	214	6	130	1
8045	1715	213	6	129	1
9351	13885	1221	15	932	3
9371	1990	402	1	402	1
9381	1840	195	2	181	1
9402	8575	698	11	550	4
12032	2707	373	6	292	1
12072	7070	579	15	393	5
12181	1347	188	7	104	2
12191	1166	222	7	139	2
18934716	2852	398	8	314	3
16657	9098	783	16	514	5
17786	1675	177	7	81	1
17796	3909	349	8	247	2
