page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
14965092	Q7150781	36	4	262
21955702	Q4566022	10	8	110
28850938	Q7454199	18	10	1075
19517448	Q6591148	89	38	754
47344787	Q18410708	92	55	510
47299375	Q20736466	8	4	240
2313880	Q507929	1740	1646	4594
21573863	Q2267477	45	43	241
46430897	Q19975005	34	30	267
40261683	Q14950697	445	407	28709
47476251	Q27106983	68	37	398
46441571	Q19845109	29	0	86
7021007	Q3470575	116	83	1065
35160598	Q4587997	75	61	365
44147637	Q18637839	172	140	2046
23924158	Q4647985	20	12	398
24392694	Q4608579	26	25	329
16778188	Q4594585	126	114	934
4139652	Q6410003	23	20	493
43646983	Q18152012	53	48	315
16004071	Q2658875	179	155	526
2662584	Q784760	939	442	29583
14650162	Q16204136	233	210	597
2300427	Q1960114	1944	1844	6885
53075508	Q28648814	35	24	214
46584343	Q19878676	7	1	292
44382805	Q18763516	3	2	251
47729560	Q21066592	18	16	275
21274159	Q2662400	35	32	251
5531401	Q525002	1363	1181	44828
35646916	Q1443606	192	174	1562
46431507	Q19975049	8	2	221
51869718	Q27107144	79	69	452
8780656	Q2428360	204	179	631
17122312	Q16147458	159	157	1159
10362095	Q4586121	137	132	899
36082813	Q5159122	184	42	7596
1897779	Q6847781	128	114	6273
46477690	Q19865978	48	47	212
44393625	Q18631744	6	1	147
21418077	Q2283022	37	36	181
11159520	Q4577191	178	164	452
1467908	Q1233083	598	509	3387
30882749	Q1933493	235	186	317
19150391	Q3852429	90	44	446
24798933	Q5407466	229	5	2312
632720	Q1963954	2056	331	9619
47373755	Q20934532	12	2	746
31689258	Q3177270	131	117	1968
20422936	Q4581207	170	160	365
52195963	Q28448626	137	131	12022
51335333	Q26405833	87	69	1419
3604992	Q958297	132	117	19438
1284267	Q302581	1075	865	145652
43534514	Q17504744	2	1	181
9301044	Q4578830	257	234	385
17364276	Q16969801	29	2	1431
13270683	Q4933164	134	121	461
16678191	Q4578865	169	159	425
8798902	Q4577107	213	184	362
21439070	Q2280648	20	20	97
51500214	Q27070265	85	76	568
34239645	Q17015653	183	169	1124
30837981	Q6927503	2	0	127
8663312	Q456566	594	560	788
46384251	Q19877854	7	3	192
11440818	Q3738021	415	367	31126
44392638	Q19538795	16	10	128
33066644	Q3645212	315	269	55492
43761400	Q18125668	8	2	227
3150086	Q6394634	47	37	15123
43476427	Q17496320	5	1	135
11173081	Q2658028	143	131	269
15915981	Q4575607	200	188	1868
29149	Q1064807	488	418	12146
43200819	Q17508074	39	0	237
19638859	Q4672996	12	8	122
43597161	Q17579904	22	15	215
30446273	Q4597817	25	21	85
22324513	Q6591944	341	183	619
41886776	Q16233037	152	117	504
53701352		30	30	2826
10529483	Q5531086	7	0	111
3135563	Q7330465	45	36	487
49891639	Q23771525	15	4	412
16647438	Q7381405	127	115	594
30778687	Q2852893	261	245	985
4465256	Q7804265	35	23	3097
46610633	Q20710478	90	79	2330
44003831	Q18204638	150	1	2537
19443683	Q4578799	149	135	764
15093587	Q4575202	216	198	779
2773859	Q1547901	236	232	678
17869717	Q4576060	137	131	552
251756	Q1052370	776	311	13491
22703322	Q3323968	199	186	2504
31641201	Q3476371	13	9	1056
21620405	Q3991706	85	44	972
43910140	Q18111409	55	36	616
35459574	Q7700220	131	115	613
