page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
353672	5852	1436	23	607	10
619753	3638	1647	23	101	5
451914	24262	3549	69	2191	22
947869	124	44	1	0	0
14832	22779	7991	75	5689	21
1040118	788	13	1	0	0
40628217	19101	5757	72	3125	24
875366	0	0	0	0	0
6634811	2039	341	15	0	0
864164	1571	172	6	102	4
25187361	7063	702	15	95	7
12180	682	114	4	0	0
776738	3761	1140	25	635	12
9380	1353	325	6	0	0
875591	37	14	1	0	0
705	1577	475	3	0	0
1286372	1580	134	3	23	1
2025667	3016	1321	20	417	4
50123	41484	10388	132	6797	60
3036959	525	86	2	0	0
385745	9303	1083	33	108	4
9401	3416	304	6	0	0
1354420	2594	637	6	92	1
1203070	15089	1373	32	366	10
1866009	17353	3569	97	791	19
1827032	22441	1007	14	982	12
878218	33	0	0	0	0
878143	673	84	3	54	2
1007361	0	0	0	0	0
16948973	2661	1260	8	754	4
1246843	20475	7592	52	2864	10
23434	1269	216	4	35	1
934155	13975	4461	70	3093	39
165451	81634	18741	179	14557	84
13398	1576	123	2	19	1
21355	5317	955	16	165	6
10979	1569780	192672	784	68473	113
23395	1355	164	5	30	2
13265409	2540	964	17	73	3
17814	1258	425	6	0	0
84018	389	68	2	23	1
34928360	710	242	2	0	0
1855482	31259	14703	74	7839	23
10113	65351	18404	200	10327	57
929503	235	0	0	0	0
24561	45533	10587	105	7516	55
8477609	239	18	1	0	0
9350	7923	428	7	34	3
27414	2998	377	9	25	2
34403	2242	237	7	0	0
331299	8179	716	22	261	9
30142	598	63	1	0	0
17092639	581	158	2	158	2
41207365	752	108	5	108	5
28876623	621	355	4	283	3
1704924	8021	1433	27	48	2
37559	2833	121	6	77	4
2222376	13598	2798	40	1386	13
743486	9706	1014	10	800	5
486842	34532	2789	56	2403	46
2496310	15547	3055	45	1963	24
15664	2501	370	11	82	4
25803948	1038	412	7	15	1
5493	3570	344	7	19	1
1904053	165928	33695	364	23560	129
16656	3771	344	7	17	1
13309617	2646	679	10	512	4
852274	11578	722	16	412	9
587618	44927	5252	92	2865	30
234984	19304	2100	66	588	17
2118843	3793	720	21	321	9
64702	9623	1205	29	251	9
17795	2374	277	6	0	0
68926	3233	507	14	47	2
266137	21207	1043	32	459	11
739237	11539	2615	66	1458	27
1417710	2507	278	8	176	3
67647	1516	230	7	30	2
858185	557	131	4	131	4
99232	2879	681	16	425	8
65123	9531	3921	50	1215	16
1906130	8647	165	9	74	4
1312292	2978	491	8	301	4
21166642	4555	1028	18	556	4
27262	220	0	0	0	0
67366	61172	21461	211	9231	77
299378	4644	518	16	294	7
21366	1131	204	4	38	2
14604	24515	2150	30	128	6
16029864	980	146	1	146	1
2859896	5230	536	22	89	5
617807	1394	423	9	85	1
538644	22280	9570	173	4975	41
20141462	8017	1713	13	395	3
51256	9326	2049	52	971	22
354620	8077	1826	34	788	8
2224857	7585	2162	53	713	23
27352	550	59	2	0	0
19759665	1576	203	9	134	5
515644	2931	235	10	92	5
211627	2087	223	9	136	5
243060	6275	2367	26	1023	4
19244	1169	208	4	11	1
221737	3468	425	15	128	7
884371	2986	1249	26	744	14
77006	1945	104	3	19	1
620416	7568	175	9	118	6
875142	233	41	3	41	3
210522	10302	1026	23	468	7
172550	16958	1424	37	1083	25
21377	307	60	1	0	0
1291806	11595	1396	20	1134	10
33928336	9436	2672	50	316	9
12132	742	147	6	19	1
436261	8793	1700	24	369	4
17831742	312	0	0	0	0
27312	930	86	3	0	0
68936	601	109	3	11	1
33690397	8569	2091	26	234	3
10711	2857	486	7	152	3
1063203	611	81	3	81	3
4143400	10637	1778	43	736	13
1265589	654	179	7	15	1
1922779	20977	3076	20	2613	9
1860204	17399	7383	119	4656	60
19250064	181	13	1	0	0
1414677	12675	1007	13	933	10
3298615	0	0	0	0	0
201114	1149	315	6	42	2
26561880	11575	2631	71	757	18
3332250	0	0	0	0	0
404682	4894	2700	31	961	16
630327	6700	570	11	174	6
30162	682	215	4	0	0
27252	1040	355	7	111	4
3615	1274	372	7	28	2
3822830	2796	375	12	176	6
23444	10038	893	13	50	3
7008312	0	0	0	0	0
875564	428	147	2	11	1
5838	1242	119	5	11	1
19275	2409	327	6	0	0
841934	1966	1095	22	324	7
37123	2264	133	6	119	5
21120005	9537	74	1	74	1
125907	7074	894	22	379	8
32187890	23638	3866	67	1595	33
9390	993	186	4	17	1
2674639	473	148	3	34	1
19121	1323	98	2	0	0
4119832	19421	1932	39	592	6
2777609	16264	1048	15	404	3
1444554	504	40	2	40	2
465906	9771	2858	42	1272	5
12160	2137	271	6	30	2
543598	9266	4992	29	371	6
610895	11086	4354	59	2311	32
868278	1705	150	3	150	3
743785	4067	961	23	587	10
2375585	3705	1271	18	216	5
23365	4785	671	21	115	4
1138550	1991	418	17	89	3
67639	1348	428	5	22	1
22606368	2916	190	6	26	1
233404	19147	1967	53	965	26
212631	5760	971	16	0	0
11298	78550	13668	296	5046	76
794352	2109	1273	20	845	12
20390	6675	904	20	50	1
47863077	30628	9778	79	1369	11
3407706	8165	506	19	49	2
1607411	57357	7172	92	3789	28
27365	1802	347	6	0	0
783033	6040	725	18	202	7
9209651	215952	22184	329	13500	133
162303	4603	622	9	141	4
1387209	338	105	2	0	0
4364873	5435	1849	24	594	3
1745670	4703	1219	26	283	8
854430	1331	162	6	108	3
27052	16983	7522	130	3123	32
11979210	1464	471	12	117	2
5046928	413	143	2	12	1
64581	4574	964	16	67	3
25190	4043	915	10	0	0
19082	1306	218	4	11	1
31837	8845	907	15	0	0
424814	629	286	8	0	0
586276	5348	1062	30	451	8
12795	6618	711	17	248	8
431838	911	442	15	97	3
38860786	5724	80	3	48	2
19265	1143	253	4	23	1
4880551	17848	3845	56	1650	21
19012	29349	8676	128	5166	42
3029295	5272	3000	36	1997	24
20750674	19132	3424	58	847	6
804003	13750	2827	49	519	8
2162094	4281	632	5	400	4
66612	10472	1814	57	775	17
50877	1457	208	2	0	0
1946540	6142	581	12	328	7
31044243	411	87	2	87	2
32380	6251	589	9	20	1
31857	1894	339	5	37	2
27272	10703	1438	24	107	2
4019188	17067	4022	43	2992	17
952935	188	67	3	32	1
5966954	1627	897	7	471	4
945303	50	0	0	0	0
43069524	9693	1449	33	572	10
314844	3223	863	26	233	8
5462	588	131	3	0	0
147384	1554	380	14	0	0
516106	6788	2302	23	89	3
27097632	49134	2993	65	1971	37
858182	1291	150	6	67	1
3497397	638	28	2	12	1
719413	808	491	8	183	2
1229798	152	13	1	0	0
19512487	1812	334	7	240	2
550187	17012	7684	152	4027	41
1548104	5177	1633	27	1176	14
27455	960	108	3	0	0
30132	4755	279	5	11	1
7739853	0	0	0	0	0
26441648	7079	289	7	289	7
15978665	0	0	0	0	0
34372	93	38	1	0	0
393896	6341	748	9	670	5
1863125	4385	397	11	295	6
27238515	572	157	3	127	1
9338	2042	235	3	0	0
18056704	1652	479	4	439	2
323434	12095	6105	77	2392	18
2012410	752	248	5	44	1
19183	661	103	1	0	0
30211	1275	379	7	15	1
1355251	5327	573	8	175	3
30112	896	152	3	30	1
1070	1138	122	4	19	1
9014981	10256	1528	26	702	8
6141982	2327	338	10	27	1
32073744	179	55	3	0	0
658906	9827	1097	24	289	9
33121168	35531	4122	105	898	20
175401	1734	287	14	96	5
27475	4361	447	10	93	3
406013	3514	1599	20	261	5
875559	106	11	1	11	1
17598155	470	254	4	228	3
21431793	2990	258	7	185	6
17756	2105	186	5	0	0
7881361	13242	1871	46	374	11
6003	579	163	3	59	2
5258610	1074	303	6	0	0
3178710	290	56	2	17	1
870407	1929	416	9	309	5
350647	6658	1431	19	330	6
58653	4035	119	1	119	1
17888	136467	29677	284	12361	55
8195726	32835	6325	124	4157	39
617467	0	0	0	0	0
7742342	6423	2216	25	351	4
31847	1806	258	6	0	0
25639	2215	341	3	47	1
5848	2273	295	3	0	0
147767	13326	3211	45	1882	29
5482	590	64	1	0	0
17823	1157	177	1	0	0
17765	856	156	2	0	0
19614411	4783	1616	31	171	6
5612659	9587	366	7	207	2
6863685	4443	1405	21	0	0
27282	1458	303	5	14	1
12224886	0	0	0	0	0
21490957	91937	12750	273	2992	26
2032269	692	218	5	30	2
9484485	10827	1141	17	469	10
56756	2498	318	10	0	0
3438593	12472	975	23	701	15
30147	291	65	1	0	0
950466	210	14	1	14	1
219877	10120	1057	24	567	8
21418432	8194	585	8	474	3
16678	316	90	2	0	0
37684	429	177	5	28	2
19101	887	87	3	0	0
9360	1036	142	4	14	1
25498	376	78	1	0	0
34384959	471	37	1	37	1
1692804	10293	1667	29	920	15
5434971	194	0	0	0	0
6875096	4799	1975	19	549	7
32447	426	89	2	0	0
36768825	745	373	8	11	1
15611519	6402	2038	38	1211	23
27302	713	141	3	11	1
2338892	5370	610	16	240	10
255912	5197	1663	38	1008	14
3633	4348	457	8	52	3
11495	488	126	2	0	0
846764	581	122	4	79	2
50812	1836	268	3	0	0
952910	36	0	0	0	0
12190	494	116	1	0	0
31071064	865	466	8	160	4
863906	4638	2686	36	574	10
5030380	516034	180864	438	124080	74
875081	166	28	1	0	0
15718	2359	296	5	29	2
27435	608	156	2	0	0
19151	0	0	0	0	0
998577	1799	454	12	192	6
35799311	508	16	1	16	1
7580342	756	168	8	28	2
40400	182933	62010	180	10212	32
19131	1229	209	2	0	0
937656	206	56	1	56	1
520711	49078	2941	31	1627	11
161033	744	130	1	0	0
424618	3729	1949	32	370	9
846763	887	163	7	61	3
5273666	5066	2162	33	1065	18
14833386	145	0	0	0	0
36963633	394	50	3	0	0
9370	776	187	2	0	0
4499460	0	0	0	0	0
27425	2577	496	5	153	1
14507041	958	215	5	215	5
3697	724	88	1	0	0
11391718	532	244	2	226	1
354563	4639	863	23	307	7
8215985	3090	426	13	125	5
28688226	631	259	6	0	0
34248	1838	131	3	0	0
24109	33327	3932	83	1936	32
40949262	4636	1033	21	263	7
213383	15272	468	15	255	8
21314066	2294	112	4	0	0
408891	849	366	5	270	3
69880	417548	70492	705	20393	72
3079085	7622	1299	29	663	12
1181152	135	0	0	0	0
23604120	70167	36166	287	11667	77
30758	168500	30643	415	8220	80
19305	746	103	2	0	0
52374650	18824	3728	71	2194	17
1039733	5530	1828	32	763	14
1273	179060	56460	398	24433	32
22320	1763	186	4	13	1
2940911	27364	5817	75	2490	45
69595	4820	1367	11	0	0
2075107	898	222	3	60	2
19264475	524	0	0	0	0
11786379	8832	2596	35	1141	6
18880684	835	301	9	50	2
13715009	337	28	2	28	2
73800	816	264	10	89	4
28251844	52	0	0	0	0
30717877	447	40	1	0	0
30210174	2455	989	13	566	4
3606	1444	396	8	11	1
18166530	810	469	4	199	1
5332	610	114	1	0	0
35459642	2196	1417	8	1332	5
25369222	1706	509	7	13	1
27371	5459	775	14	328	9
56897	2077	229	3	0	0
2425405	1989	444	8	11	1
5308117	2267	338	8	29	1
21722477	300	151	5	58	3
22270645	1705	0	0	0	0
2322268	571	207	4	188	3
926998	15	0	0	0	0
1444647	163	17	1	0	0
22079251	5594	1578	16	0	0
13103290	566	240	6	68	2
30297	54763	4254	134	655	17
3264383	9450	4639	57	2455	21
19025500	1047	120	4	37	2
1761049	0	0	0	0	0
4129480	911	439	6	43	1
26326125	6134	487	6	104	1
423956	132	49	2	0	0
23456154	2276	407	9	19	1
29018265	1482	202	3	163	2
16229177	622	323	4	235	1
40494892	82287	22211	241	7935	38
24603436	0	0	0	0	0
13462589	1105	228	2	228	2
25550313	157	50	2	11	1
26346644	977	0	0	0	0
261709	32298	7667	140	4384	52
25534914	17544	1758	39	1107	19
30845489	15362	1339	26	1233	23
34079907	2335	214	4	188	3
30688714	6774	1569	19	532	4
31237530	9641	941	19	562	6
30993635	1045	626	7	216	4
41576503	2068	141	5	0	0
21306	583	223	4	32	1
9476145	2254	117	5	102	4
37246997	76	0	0	0	0
36958864	65	0	0	0	0
403786	3833	778	29	199	9
37267710	67	0	0	0	0
37267641	68	0	0	0	0
37255782	0	0	0	0	0
37210674	0	0	0	0	0
37177821	0	0	0	0	0
37177331	18	0	0	0	0
37162917	11	0	0	0	0
37158431	11	0	0	0	0
37113219	13	0	0	0	0
37105017	20	0	0	0	0
37022214	153	108	1	0	0
37077879	35	0	0	0	0
37280034	11	0	0	0	0
37280293	13	0	0	0	0
37289498	14	0	0	0	0
37295536	13	0	0	0	0
37298843	0	0	0	0	0
37299655	12	0	0	0	0
37306635	0	0	0	0	0
37309604	11	0	0	0	0
37316678	33	0	0	0	0
37313216	21	0	0	0	0
36255764	165	42	2	27	1
9362881	1200	559	6	267	1
33523554	483	54	3	24	1
35902161	412	92	5	37	1
37113180	12	0	0	0	0
37464461	77	0	0	0	0
4482	24534	9406	119	5944	39
37020459	117	19	1	0	0
37469363	23	0	0	0	0
35812795	214	72	2	0	0
20569788	68	0	0	0	0
12972080	163	11	1	0	0
9036176	151	12	1	0	0
31669	32533	5063	63	1477	24
30860306	913	474	9	306	3
1094346	693	372	10	49	3
20568838	152	30	2	17	1
265256	3261	398	11	101	3
1000232	35950	9176	40	169	2
210411	10208	5440	64	4048	30
26156113	51334	3008	11	1972	3
35975940	0	0	0	0	0
24150	180944	38458	263	18749	72
37613959	0	0	0	0	0
37670836	11	0	0	0	0
37671302	13	0	0	0	0
244149	14756	4355	71	205	4
4792	64260	15926	185	5133	42
563975	69793	24605	133	9466	37
37823815	17	0	0	0	0
6916	17016	2137	55	713	8
19468532	3223	386	6	293	3
11351893	1686	524	11	281	4
9427527	2308	713	13	77	4
6965722	5942	1709	39	411	9
36419010	1576	119	2	77	1
38400061	954	121	6	0	0
38328763	603	36	2	0	0
19527	202513	32227	383	10449	61
33853117	105805	24323	352	2267	39
2055706	3673	1290	22	164	5
17302909	1054	30	1	0	0
11544231	1497	337	13	78	3
20582913	13	0	0	0	0
37076769	0	0	0	0	0
20570079	53	0	0	0	0
1301579	5260	240	8	48	2
39164875	1990	84	1	0	0
14599	45192	3473	56	1505	22
39311177	488	13	1	13	1
28918766	2232	312	9	59	2
37810223	3431	2420	18	949	8
37128477	122	13	1	0	0
38481813	48670	20961	83	10536	19
38156611	20	0	0	0	0
39810989	113	13	1	0	0
39692381	173	0	0	0	0
39704339	400	0	0	0	0
39841433	228	160	2	0	0
34887541	2393	1113	11	11	1
25507	281511	65518	744	20018	54
472615	344	47	3	0	0
45311	75604	12644	203	2636	25
10494547	15674	6155	65	4838	30
40091745	85	46	2	35	1
21939	91762	18192	275	3892	22
40772597	269	26	2	15	1
44443	7942	2634	61	1754	38
1973	150983	22361	289	6877	52
21422977	180	92	1	0	0
40959103	94	17	1	0	0
41002458	0	0	0	0	0
41028007	0	0	0	0	0
41085656	26	0	0	0	0
